Command                                                                                              | TimeWhen (hh:mm:ss DD/MM/YYYY)
                                                                     


Location Create                                                                                      | 21:39:38 20/5/2024                                                                                  
Building Create                                                                                      | 21:39:46 20/5/2024                                                                                  
Hotel Create                                                                                         | 21:39:54 20/5/2024                                                                                  
Room Create                                                                                          | 21:40:2 20/5/2024                                                                                   
Room Create                                                                                          | 21:40:9 20/5/2024                                                                                   
Facility Create                                                                                      | 21:40:16 20/5/2024                                                                                  
Facility Create                                                                                      | 21:40:21 20/5/2024                                                                                  
RoomFacility Create                                                                                  | 21:40:26 20/5/2024                                                                                  
RoomFacility ReadAll                                                                                 | 21:40:31 20/5/2024                                                                                  
RoomFacility Update                                                                                  | 21:40:38 20/5/2024                                                                                  
RoomFacility ReadAll                                                                                 | 21:40:42 20/5/2024                                                                                  
RoomFacility Create                                                                                  | 21:40:53 20/5/2024                                                                                  
RoomFacility ReadAll                                                                                 | 21:40:57 20/5/2024                                                                                  
Room Delete                                                                                          | 21:41:4 20/5/2024                                                                                   
RoomFacility ReadAll                                                                                 | 21:41:7 20/5/2024                                                                                   
EXIT                                                                                                 | 21:41:8 20/5/2024                                                                                   
EXIT                                                                                                 | 21:41:19 20/5/2024                                                                                  
